%% LaTeX2e file `shale.dat'
%% generated by the `filecontents' environment
%% from source `supercontinents_superplumes' on 2019/11/10.
%%
Age     Total   Thickness
600 0.50 675
600 0.76 813
650 0.10 165
650 0.27 51
650 0.35 126
660 0.30 120
660 0.33 165
700 0.40 720
750 0.30 480
790 0.80 500
850 0.34 161
850 0.76 519
1000 0.15 158
1000 0.30 81
1000 0.55 554
1050 0.26 260
1250 0.33 396
1450 0.20 600
1600 0.25 75
1640 0.20 406
1690 0.50 600
1700 0.40 1008
1700 0.55 1540
1750 0.35 201
1790 0.50 500
1850 0.90 540
1875 0.80 160
1878 1.00 2025
1880 0.31 248
1880 0.50 800
1880 0.54 3700
1900 0.40 250
1900 0.58 394
1925 0.46 306
1930 0.54 544
1975 0.63 628
1975 0.73 600
1995 0.80 1993
2000 0.30 158
2000 0.50 495
2100 0.40 120
2100 0.60 665
2150 0.25 255
2350 0.10 350
2350 0.25 575
2460 0.50 435
2530 0.65 449
2630 0.90 648
2700 0.70 105
