House value, Rental value
81000 ,6656
95000 ,7904
121000 ,12064
135000 ,8320
145000 ,8320
165000 ,13312
178000 ,11856
200000 ,12272
214000 ,8528
240000 ,10192
289000 ,11648
325000 ,12480
77000 ,4576
94000 ,8736
115000 ,7904
130000 ,9776
140000 ,9568
165000 ,8528
174000 ,10400
200000 ,10608
208000 ,10400
240000 ,12064
270000 ,12896
310000 ,12480
75000 ,7280
90000 ,6240
110000 ,7072
126000 ,6240
140000 ,9152
155000 ,7488
170000 ,9568
194000 ,11232
200000 ,10400
240000 ,11648
262000 ,10192
303000 ,12272
67500 ,6864
85000 ,7072
104000 ,7904
125000 ,7904
135000 ,7488
148000 ,8320
170000 ,12688
190000 ,8320
200000 ,8320
225000 ,12480
244500 ,11232
300000 ,12480
