    Voltage       D1       D2      Lambda_1      Lambda_2  Lambda (theory)
0    3000.0  0.02905  0.05110  2.247231e-11  2.266657e-11     2.239067e-11
1    3000.0  0.02830  0.04995  2.189213e-11  2.215647e-11     2.239067e-11
2    3000.0  0.02870  0.04970  2.220156e-11  2.204557e-11     2.239067e-11
3    3500.0  0.02765  0.04780  2.138931e-11  2.120278e-11     2.072973e-11
4    3500.0  0.02560  0.04640  1.980348e-11  2.058178e-11     2.072973e-11
5    3500.0  0.02650  0.04550  2.049970e-11  2.018257e-11     2.072973e-11
6    4000.0  0.02585  0.04375  1.999688e-11  1.940631e-11     1.939089e-11
7    4000.0  0.02520  0.04490  1.949405e-11  1.991642e-11     1.939089e-11
8    4000.0  0.02340  0.04320  1.810162e-11  1.916235e-11     1.939089e-11
9    4500.0  0.02515  0.04200  1.945538e-11  1.863006e-11     1.828190e-11
10   4500.0  0.02510  0.04225  1.941670e-11  1.874095e-11     1.828190e-11
11   4500.0  0.02300  0.03920  1.779219e-11  1.738806e-11     1.828190e-11
12   5000.0  0.02310  0.03995  1.786955e-11  1.772074e-11     1.734374e-11
13   5000.0  0.02270  0.04035  1.756012e-11  1.789817e-11     1.734374e-11
14   5000.0  0.02160  0.03790  1.670919e-11  1.681141e-11     1.734374e-11
