Distance,       Force_1,        Force_2
0.435,          -7.1,           -4.7
0.436,          -7.2,           -4.7
0.437,          -7.1,           -4.6
0.438,          -7.0,           -4.5
0.438,          -7.0,           -4.3
0.439,          -6.7,           -4.2
0.440,          -6.5,           -4.1
0.441,          -6.4,           -4.0
0.442,          -6.1,           -4.0
0.443,          -6.0,           -3.9
0.444,          -5.9,           -3.8
0.445,          -5.8,           -3.7
0.446,          -5.5,           -3.6
0.447,          -5.4,           -3.5
0.448,          -5.2,           -3.4
0.449,          -5.2,           -3.3
0.450,          -5.1,           -3.3
0.451,          -4.9,           -3.4
0.452,          -4.8,           -3.3
0.453,          -4.7,           -3.2
0.454,          -4.7,           -3.1
0.455,          -4.6,           -3.0
